case,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,T,LSTM-PINN,6.699010555166751e-06,0.0025882446207106113,0.002036072313785553,0.31058937311172485,0.005219987593591213,0.017365049570798874,0.002036072313785553,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,T,DP-PINN,1.852721834438853e-05,0.004304325673729181,0.0031006012577563524,0.5165190100669861,0.008680989034473896,0.04436924308538437,0.0031006012577563524,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,T,DP-PINN,2.7655445592245087e-05,0.0052588446997106075,0.004130241461098194,0.631061315536499,0.0106060691177845,0.023474447429180145,0.004130241461098194,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,T,DP-PINN,4.685968815465458e-05,0.0068454137071967125,0.005021673161536455,0.8214497566223145,0.013805873692035675,0.03797187656164169,0.005021673161536455,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,T,Causal-PINN,9.442201189813204e-06,0.003072816412895918,0.0022310088388621807,0.3687380254268646,0.006197275593876839,0.022759605199098587,0.0022310088388621807,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,T,Causal-PINN,2.606212547107134e-05,0.005105107557028532,0.004046290647238493,0.6126130223274231,0.01029601413756609,0.014461050741374493,0.004046290647238493,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,T,Causal-PINN,9.868824417935684e-05,0.009934195317327976,0.008050313219428062,1.192103624343872,0.02003534883260727,0.03923557326197624,0.008050313219428062,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,T,Param-ANN-PINN,5.376833996706409e-06,0.0023188001941889524,0.0018364241113886237,0.27825599908828735,0.00467656971886754,0.019122660160064697,0.0018364241113886237,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,T,Param-ANN-PINN,1.0314797691535205e-05,0.0032116658985614777,0.002652895636856556,0.38539987802505493,0.006477306596934795,0.007819563150405884,0.002652895636856556,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,T,Param-ANN-PINN,1.809197783586569e-05,0.004253466613590717,0.0033892476931214333,0.5104160308837891,0.00857841782271862,0.031596921384334564,0.0033892476931214333,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
